New Run at  08/08/2018 22:53:11
, Time, RandomReward; M_LinUCBReward, ClusterID;UserID;M_LinUCBModelUsed,
data,1293836400000,22;5647;97.0,37;11
data,1293836400000,23;4154;97.0,37;11
data,1293836400000,23;8367;98.0,37;11
data,1293836400000,23;8376;98.0,37;11
data,1293836400000,23;4517;99.0,37;11
data,1293836400000,23;8390;99.0,37;11
data,1293836400000,23;3477;99.0,37;11
data,1293836400000,23;3874;99.0,37;11
data,1293836400000,23;2247;99.0,37;11
data,1293836400000,23;3061;99.0,37;11
data,1296514800000,23;1866;99.0,37;11
data,1296514800000,24;2695;100.0,37;11
data,1298934000000,24;4775;100.0,37;11
data,1298934000000,24;8449;100.0,37;11
data,1298934000000,24;5647;100.0,37;11
data,1298934000000,24;109;100.0,37;11
data,1304596135526,24;346;100.0,37;11
data,1246399200000,24;8491;100.0,34;12
data,1246399200000,24;8503;100.0,34;12
data,1246399200000,24;3579;100.0,34;12
data,1246399200000,24;5264;100.0,34;12
data,1246399200000,24;6941;100.0,34;12
data,1246399200000,25;8364;100.0,34;12
data,1246399200000,25;7778;100.0,34;12
data,1246399200000,25;5064;100.0,34;12
data,1251756000000,25;8370;100.0,34;12
data,1251756000000,25;4712;100.0,34;12
data,1251756000000,25;7846;100.0,34;12
data,1251756000000,25;8304;101.0,34;12
data,1251756000000,25;4131;102.0,34;12
data,1251756000000,25;5068;102.0,34;12
data,1251756000000,25;7852;102.0,34;12
data,1254348000000,25;8603;102.0,34;12
data,1254348000000,25;8615;102.0,34;12
data,1254348000000,25;3517;102.0,34;12
data,1254348000000,25;1184;102.0,34;12
data,1254348000000,25;2400;102.0,34;12
data,1254348000000,25;4131;103.0,34;12
data,1257030000000,25;4131;104.0,34;12
data,1257030000000,25;4131;105.0,34;12
data,1257030000000,25;4131;106.0,34;12
data,1259622000000,25;4131;107.0,34;12
data,1212271200000,25;6482;107.0,158;13
data,1212271200000,25;8691;107.0,158;13
data,1212271200000,25;2348;107.0,158;13
data,1212271200000,25;7863;107.0,158;13
data,1212271200000,25;8715;107.0,158;13
data,1212271200000,25;5453;107.0,158;13
data,1212271200000,25;8734;107.0,158;13
data,1212271200000,25;1010;108.0,158;13
data,1212271200000,25;3082;108.0,158;13
data,1212271200000,25;8759;109.0,158;13
data,1212271200000,25;6204;110.0,158;13
data,1212271200000,25;8775;110.0,158;13
data,1212271200000,25;2663;111.0,158;13
data,1212271200000,25;5887;112.0,158;13
data,1212271200000,25;4205;113.0,158;13
data,1212271200000,25;90;113.0,158;13
data,1212271200000,25;8808;113.0,158;13
data,1212271200000,25;2986;114.0,158;13
data,1212271200000,25;6722;115.0,158;13
data,1212271200000,25;2818;115.0,158;13
data,1212271200000,25;3254;116.0,158;13
data,1212271200000,25;2517;117.0,158;13
data,1212271200000,25;1975;118.0,158;13
data,1212271200000,25;2843;119.0,158;13
data,1212271200000,25;8872;119.0,158;13
data,1212271200000,25;4778;120.0,158;13
data,1212271200000,25;5917;120.0,158;13
data,1212271200000,25;7583;120.0,158;13
data,1212271200000,25;8000;120.0,158;13
data,1212271200000,25;631;121.0,158;13
data,1212271200000,25;6160;122.0,158;13
data,1212271200000,25;5369;122.0,158;13
data,1212271200000,25;4339;123.0,158;13
data,1212271200000,25;2983;124.0,158;13
